REPORT_DAT,PSA
27/1/13 4:46,106
26/1/13 20:00,101
26/1/13 18:56,107
26/1/13 18:50,101
26/1/13 18:18,102
26/1/13 15:21,107
26/1/13 14:59,106
25/1/13 21:50,102
25/1/13 17:28,101
25/1/13 12:40,103
25/1/13 9:07,102
24/1/13 22:23,108
24/1/13 21:28,101
24/1/13 17:18,101
24/1/13 16:35,104
24/1/13 15:49,102
24/1/13 10:51,102
24/1/13 7:00,102
23/1/13 21:36,107
23/1/13 20:30,106
23/1/13 20:15,103
23/1/13 18:34,108
23/1/13 17:39,102
23/1/13 14:51,102
23/1/13 14:30,101
23/1/13 14:25,107
23/1/13 13:18,108
23/1/13 12:13,101
23/1/13 11:58,107
23/1/13 8:47,106
22/1/13 19:39,107
22/1/13 18:00,105
22/1/13 14:45,101
22/1/13 13:12,102
22/1/13 13:00,101
22/1/13 10:00,101
22/1/13 9:16,105
21/1/13 20:45,107
21/1/13 16:58,101
21/1/13 11:30,107
21/1/13 9:55,104
21/1/13 9:48,107
21/1/13 2:12,103
21/1/13 1:25,102
21/1/13 1:00,102
21/1/13 0:26,102
21/1/13 0:06,107
20/1/13 22:18,101
20/1/13 21:11,102
20/1/13 18:00,105
20/1/13 17:38,103
20/1/13 16:02,101
20/1/13 13:09,104
20/1/13 13:08,102
20/1/13 11:46,106
20/1/13 10:36,102
19/1/13 20:57,102
19/1/13 16:06,104
19/1/13 15:41,101
19/1/13 13:04,107
19/1/13 10:15,108
19/1/13 9:36,106
19/1/13 0:56,104
18/1/13 21:10,101
18/1/13 18:29,101
18/1/13 18:08,104
18/1/13 16:15,102
18/1/13 6:21,101
17/1/13 21:00,107
17/1/13 20:52,105
17/1/13 18:56,101
17/1/13 18:54,104
17/1/13 16:45,104
17/1/13 11:52,106
17/1/13 10:30,104
16/1/13 19:15,108
16/1/13 18:30,107
16/1/13 18:30,108
16/1/13 17:56,102
16/1/13 11:23,105
16/1/13 10:29,105
16/1/13 10:00,108
16/1/13 10:00,103
16/1/13 9:47,108
15/1/13 19:45,108
15/1/13 19:13,106
15/1/13 18:25,107
15/1/13 18:06,101
15/1/13 14:54,101
15/1/13 13:40,103
14/1/13 22:10,108
14/1/13 21:27,106
14/1/13 21:16,102
14/1/13 20:40,107
14/1/13 17:49,102
14/1/13 17:00,101
14/1/13 15:55,107
14/1/13 12:00,107
14/1/13 11:46,107
14/1/13 10:00,105
14/1/13 9:41,108
13/1/13 22:17,104
13/1/13 18:15,105
13/1/13 17:32,108
13/1/13 12:59,108
13/1/13 12:20,108
12/1/13 20:06,102
12/1/13 19:27,102
